,sid,density,porosity,strength,length,width,depth,name_Basalt,name_Granite,name_Limestone,name_Marble,name_Sandstone,name_Slate,name_Trap,type_Artificial,type_Igneous,type_Metamorphic,type_Others,type_Sedimentary,quality_A,quality_B,quality_C,quality_D,quality_E,quality_F,quality_G,quality_H
0,2,-1.5606477482646697,0.5874125874125873,0.791666666666667,1.9723082923316002,0.413447382282909,0.837247524533702,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,4,-1.23787435600162,0.6783216783216786,0.541666666666667,2.04939015319192,0.7847996946917171,0.9669838461896729,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,6,-1.42711635564015,0.6923076923076923,0.4583333333333339,1.98494332412792,0.5329852102313649,0.908258560176891,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,7,-1.42711635564015,0.7366397801519644,0.4583333333333339,1.75621680379676,0.552909935873109,0.904218150639886,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4,8,-1.34707364796661,0.660839160839161,0.29166666666666696,2.0174241001832,0.6789501945619569,0.928219302739429,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,9,-1.5141277326297802,0.7727272727272727,0.791666666666667,1.9672315572906003,0.355117337630753,0.912282710476616,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,12,-1.4696759700589401,0.6923076923076923,0.375,1.9824227601598998,0.473022289718675,0.900161349944271,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,22,-1.4696759700589401,0.7272727272727273,0.29166666666666696,1.9621416870348602,0.49300941077844396,0.908258560176891,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,24,-1.17118298150295,0.5734265734265735,0.875,1.575292704278665,0.9223537314592579,0.963174317773006,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
9,26,-2.320430770629657,0.6083916083916086,0.541666666666667,1.99248588451713,0.58262839029318,0.8796267475025641,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
10,28,-1.2039728043259401,0.6713286713286715,0.4583333333333339,2.06881608655772,0.839360023660006,0.982078472412158,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11,29,-1.4696759700589401,0.6118881118881119,0.791666666666667,1.98997487421324,0.5429561639986661,0.8754687373539001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
12,32,-1.4696759700589401,0.5874125874125873,0.4583333333333339,2.00997512422418,0.6314459747925,0.883767540168595,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
